지역,근무회사,근무시간,급여,올린시간,알바설명
가평군 전체,쿠팡,시간협의,"시급17,000",06/30,"첫배송만해도 13만원 지급/단기,투잡가능/배송알바/쿠팡플렉스"
가평군 청평면,(주)와이제이인터내셔널,09:00~12:00,"시급9,000",42분전,(주5일) 쇼핑몰 단순 포장 알바
가평군 전체,애니맨 경기지사A,09:00~18:00 (협의가능),"건별20,000",07/14,애니맨실시간지원가능/초보가능/자율근무/주단위정산
가평군 전체,미르축산,09:00~06:00,"시급15,000",06/21,정육직원구합니다/주5일근무/편하게연락주세요
가평군 전체,도선재에프앤비(주),09:30~20:30 (협의가능),"시급11,000",07/12,급구 홀서비스 평일 / 주말 알바 홀직원 모집
가평군 청평면,대성리해물짬뽕,09:30~20:30,"시급8,720",07/16,대성리 해물짬뽕 서빙 구합니다
가평군 가평읍,(주)맘편한세상,09:00~18:00 (협의가능),"시급10,000",07/12,맘시터 아이돌봄 모집 / 주부환영 / 보육교사 / 대학생 (평일/주말/시급만원)
가평군 전체,롯데리아 가평현리점,시간협의,"시급8,720",07/12,평일 주말아르바이트구함
가평군 가평읍,(유)미소,"09:00~18:00 (로테이션,협의가능)","시급14,600",07/12,"시급14,000) 청소알바/동네 근처/가사도우미/업계 일자리 최대 시급"
가평군 가평읍,전원식당,11:00~21:00,"일급100,000",07/16,7월 21일 전원식당에서 홀서빙(일당) 모집합니다.
가평군 전체,주식회사더뉴스테이,15:00~22:00 (협의가능),"시급9,000",07/15,편의점/직원/모집
가평군 가평읍,감성커피 가평군청점,시간협의,"시급8,750",07/15,감성커피 가평군청점 시간제일바 경력자구함
가평군 가평읍,가평군청점 세븐일레븐,시간협의,"시급8,720",07/15,가평군청점 세븐일레븐
가평군 전체,아담에프앤디,시간협의,"시급10,000",07/15,아침 수목원 초입 식자재마트 함께 할 가족 찾습니다
가평군 청평면,GS25청평제일점,시간협의,"시급8,720",07/10,GS25 청평제일점 스토어매니저 모집
가평군 가평읍,GS25가평중앙점,23:00~07:00 (협의가능),"시급8,720",07/13,GS25 가평중앙점 (준수목욕탕 옆) 새벽 알바 구합니다. 주5일
가평군 청평면,GS25가평대성점,17:00~23:00,"시급8,720",07/09,GS25 가평대성점 스토어매니저 모집
가평군 전체,딜리온 경기북부사업3본부 가평점,시간협의,"일급200,000",07/08,(딜리온)경기 가평점 센터 및 지사모집
가평군 전체,교촌치킨 가평 가평,시간협의,"시급8,720",07/08,"교촌치킨 가평점 홀서빙,주방보조,배달직 같이 하실분"
가평군 하면,피자마루(가평현리점),17:00~22:00,"시급8,720",07/12,피자마루 가평현리점 주말 알바구해요
가평군 전체,청평파리바게뜨,18:00~22:00,"시급8,720",07/11,아르바이트를 구합니다
가평군 설악면,부손항아리막국수,10:00~20:00,"시급10,000",07/10,설악면 부손 항아리 막국수 평일 10시부터 8시까지 홀 서빙 모집
가평군 전체,금강막국수 춘천닭갈비,10:30~21:30 (협의가능),"시급11,000",07/09,(수목원인근) 알바 남여 서빙구합니다 온정리닭갈비 금강막국수
가평군 전체,(주)삼원에스,08:30~17:30,"일급120,000",07/09,속초한화리조트즉시투입/숙식제공/단기/룸메이드/일급12만
가평군 청평면,인터라켄스테이앤코리달리스,시간협의,"시급10,000",07/05,"+시급 10,000원+ 가평카페 평일알바 구합니다"
가평군 청평면,인터라켄스테이,시간협의,"시급10,000",07/08,가평 코리달리스카페에서 평일알바를 모집합니다
가평군 전체,사랑굿숯불닭갈비막국,10:30~22:30,"일급104,650",07/06,음식점 서빙
가평군 전체,바로취업소개소,시간협의,"일급180,000",07/08,강원도 평창 양배추작업 인원모집
가평군 전체,아레나수상레저,12:00~05:00,"시급10,000",06/30,아레나 펜션관리
가평군 청평면,솔거펜션,09:00~15:30,"일급72,000",07/03,펜션알바 2030남성환영.하루6시간 72000원.점심제공.대성리역5분거리
가평군 설악면,파스쿠찌 영종하늘도시점,시간협의,"시급9,000",06/28,가평 파스쿠찌유명산 DI점
가평군 전체,강남금식기도원,09:00~23:00 (로테이션),"시급8,720",07/02,강남금식기도원 접수처 직원 모집합니다.
가평군 청평면,제빵소덤,08:00~15:00 (협의가능),"시급10,600",07/02,바리스타업무 및 빵포장
가평군 설악면,김밥이야기,07:00~19:00,"시급8,720",07/01,홀서빙 겸 주방 파트타임 외국인가능
가평군 가평읍,감나무집(가평점),10:00~21:00 (협의가능),"시급12,000",06/29,"가평 감나무집에서 평일 오전/오후,풀타임 홀서빙 파트타임 구합니다."
가평군 가평읍,방씨기획,10:00~17:00 (협의가능),"건별100,000",06/28,【재택알바】당일지급10만원/블로그포스팅/사무보조/초보/주말단기/장기/야간학생
,,,,,
