지역,근무회사,근무시간,급여,올린시간,알바설명
광명시 전체,한성건설,07:00~17:00,"140,000원",16시간전, 동반입사/일급14/당일지급/건설현장/알바/초보/단기/
광명시 전체,메타넷엠플랫폼,09:00~18:00,"88,000원",18시간전, [경기도일자리재단] 청년노동자 지원사업 응대 및 서
광명시 전체,㈜와이에스 컴퍼니,17:00~02:00,"151,000원",07/18, 상하차없는 단순핸들카분류/연장1H-17000원/초보가능
광명시 광명동,이마트24 R광명7동점,00:00~09:00,"8,720원",4시간전, 이마트24 R광명7동점 평일 야간 파트 아르바이트 모집
광명시 전체,베스킨라빈스 소하사거리점,19:00~23:00,"8,720원",07/18, 주말 오후 알바 구합니다
광명시 광명동,콜인력,07:00~17:00,"130,000원",07/18," 광명사거리역 이수증 필수, 13만원(식사제공)100%당일"
광명시 하안동,블루문스터디카페 하안점,08:00~09:00,"10,000원",07/18, 블루문 스터디카페 하안점 주말 오전 8시 1시간 청소
광명시 전체,피자헛광명소하점,시간협의,"10,464원",07/18," [시급 10,464원] 피자헛 광명소하점 배달기사 구인"
광명시 광명동,애플,시간협의,"17,000원",07/18," 광명사거리역 애플바에서 매니저 , 착실한알바 모집하"
광명시 노온사동,대복주유소,05:00~14:00,"8,720원",07/17, 대복주유소에서 일하실 직원분 모집합니다.
광명시 전체,맥도날드 광명 한신점,시간협의,"8,720원",07/17, [모집] 맥도날드 세이브존 광명점 크루 모집
광명시 일직동,텐퍼센트 커피,시간협의,"8,720원",07/17, 텐퍼센트커피 광명역점에서 같이 성장해나갈 인재를 
광명시 철산동,1943철산,시간협의,"9,000원",07/17, 1943 철산점에서 홀서빙 모집합니다
광명시 광명동,스터디홀릭,15:00~22:00,"8,720원",07/17, [주중]광명사거리 스터디홀릭에서 단순보조 알바 모집
광명시 광명동,메가커피 광명사거리점,09:00~16:00,"8,720원",07/17, 메가 커피 광명사거리점 주말오픈 알바구인합니다
광명시 전체,[당일지급/장기가능/일급12만6천원-17만원/,19:00~07:00,"179,110원",07/17," [금천구/주휴수당/17만/당일지급/f5,6]가산동 물류창"
광명시 전체,광명상하목장DS대리점,02:00~06:00,"600,000원",07/16," 역세권 1,4단지 인근 주택 월,수,금 새벽2시-6시 우유"
광명시 하안동,배스킨라빈스 하안6단지점,시간협의,"8,800원",07/16," 배스킨라빈스 광명하안6단지점/평일,주말 함께 일할 "
광명시 전체,청담본갈비(광명점),시간협의,"10,000원",07/16," 평일 오전  파트타임 모집 (시급 10,000원이상)"
광명시 철산동,한국맥도날드(유),시간협의,"8,720원",07/16, 맥도날드 철산역점에서 매장직원/라이더 모집합니다.
광명시 철산동,스시웨이광명본점,10:00~15:00,"8,720원",07/16, [광명] 스시웨이 광명본점 홀서빙 (휴학생)모집 ##XX
광명시 광명동,배달의쌀국수 광명점,시간협의,"8,800원",07/16, 배달의쌀국수 평일 알바생모집
광명시 일직동,비에이블피트/라라베이프,11:00~17:00,"8,720원",07/16, 전자담배 매장에서 일하실 분구합니다 ( 기본적인 포
광명시 소하동,맘스터치 광명소하점,시간협의,"8,720원",07/16," 맘스터치 광명소하점에서 홀,주방알바를 모집합니다."
광명시 전체,북창동순두부 KTX광명점,10:00~14:30,"1,300,000원",07/16, 주간 홀 서빙(10시부터 2시 30분) 직원 모집
광명시 소하동,유디광명치과의원,시간협의,"10,000원",07/16, 유디광명치과의원 스켈링 및 진료실헬퍼 선생님 구인
광명시 전체,아발론랭콘잉글리쉬 광명어학원,14:30~18:00,"8,720원",07/16, 차량도우미를 구합니다.
광명시 소하동,㈜모건솔루션,22:30~05:30,"80,000원",07/16, [2일알바(7/21-22)/일급8만/선착순] 쉬운 상품테크 교
광명시 광명동,텐텐경희한의원,09:00~18:00,"9,000원",07/16, 간호
광명시 하안동,도미노피자 광명점,시간협의,"12,000원",07/16, 배달스탭및 정규직사원
광명시 하안동,㈜현대이에프씨,08:00~17:00,"69,760원",07/16," 경기 광명, 서울/단기/주간/소방점검/근무일[7/19-7/"
광명시 전체,주식회사 모스트인,10:00~17:00,"13,000원",07/16, 1달/시급1.3만/마트 행사자구인 및 행사관리 아르바이
광명시 소하동,스타디움당구클럽,17:00~22:00,"9,000원",07/16, 스타디움 당구클럽(소하동)에서 함께 할 가족 모집합
광명시 소하동,메가슈플렉스에스마켓코리아,시간협의,"8,720원",07/16, 신발 멀티샵 에스마켓[EM광명소하점]  판매사원 모집
광명시 일직동,투썸플레이스KTX광명역사점,시간협의,"8,720원",07/16, -투썸플레이스 KTX광명역사점에서 같이 일할 오픈스텝
광명시 하안동,강남면옥,12:00~17:00,"8,720원",07/16, 밤일마을 평일알바 계약직
광명시 광명동,맥도날드 광명역점,시간협의,"8,720원",07/16, 광명역점 라이더 모집채용합니다. (주말근무 필수)
광명시 일직동,지원자 선호도 1등기업 포스팅 아르바이트 ,시간협의,"100,000원",07/16, 건당10만원/블로그만 있으면 할수있는 5분업무/당일지
광명시 광명동,고기듬뿍대왕비빔밥 광명점,시간협의,"9,000원",07/16," 고기듬뿍대왕비빔밥광명점 직원1, 평일낮1, 평일저녁"
광명시 하안동,포항물회집,시간협의,"10,000원",07/16, 광명 포항물회 홀서빙 알바 모집합니다
광명시 광명동,민카페,08:30~12:30,"8,720원",07/16," 함께 일할 바리스타 모집합니다.(월,수,금 오픈 알바"
광명시 전체,홍짜장,10:00~13:30,"8,720원",07/16," 평일 화.수.목,금 써빙 구해요"
광명시 소하동,스윔어바웃,09:00~18:00,"9,000원",07/16, 광명 소하동 7/19 하루 단기 장기 9천 창고정리
광명시 광명동,컴포즈커피 광명사거리역점,15:00~22:30,"8,720원",07/16, 컴프즈커피 광명사거리역점 월/목 마감 PT 모집
광명시 전체,맥도날드 광명 DT점,시간협의,"8,720원",07/16, ★★ [급구] 맥도날드 광명DT점과 함께 하실 크루 분
광명시 일직동,지큐브스페이스,11:00~20:00,"11,200원",07/16," [광명점] 시급11,200원/2-3개월단기가능/주말공휴일/"
광명시 철산동,롱라움,09:00~12:00,"8,720원",07/16, 쇼핑몰 상품등록 및 관리 간단업무
광명시 일직동,노라조이벤트,시간협의,"8,720원",07/16, 광명역인근 웨딩홀에서 예식진행을 함께할 팀원을 구
광명시 소하1동,삼정창호,07:00~17:00,"130,000원",07/16, 커튼월 및 판넬설치 일하실분(신입 일급13만원)
광명시 철산동,쿠팡풀필먼트서비스(유),18:00~04:00,"109,200원",07/16," [고양쿠팡]일급 109,200원/다음날지급/오후알바/셔틀"
