지역,근무회사,근무시간,급여,올린시간,알바설명
시흥시 전체,뉴에이스굿,08:00~17:00,"9,300원",20분전, 급구] 6월28일 당일 알바/오이도 센터/장기.단기/단순
시흥시 배곧동,대용산업,08:00~20:00,"3,100,000원",22분전, 정규직/주5일/월 310만원/금형수리/다이캐스팅 각 채
시흥시 능곡동,투썸플레이스시흥능곡점,16:00~22:00,"10,464원",26분전, 투썸플레이스 시흥능곡점에서 주말마감 알바 모집합니
시흥시 전체,"익일지급, 통근버스 운행, 상하차 절대아님",시간협의,"88,712원",33분전, MTV단지內 외국계 화장품 물류센터 장기 아르바이트 
시흥시 전체,주급가불가능/통근버스운행/기숙사무료제공,시간협의,"4,000,000원",33분전, [월 400만원]반월공단 FPCB 검사사원 모집
시흥시 정왕동,데일리PC카페,18:00~02:00,"8,720원",36분전, 데일리PC카페 주말오후 알바생 모집합니다
시흥시 정왕동,헤리티지,16:00~23:00,"9,000원",38분전," 헤리티지PC방 (금,토) 오후,야간 알바생 모집합니다."
시흥시 정왕동,㈜리채컴퍼니,시간협의,"9,000원",50분전," 시흥 웨이브파크 수내닭꼬치, 오마뎅 (아르바이트 모"
시흥시 신천동,쿠팡풀필먼트서비스(유)/시흥2센터,18:00~03:00,"87,200원",50분전, [시흥쿠팡]#꿀알바#익일지급#기간자유#출퇴근셔틀#동
시흥시 미산동,킹콩아울렛,09:00~18:00,"2,500,000원",51분전, 인터넷쇼핑몰   택배포장 업무 및 정리정돈
시흥시 정왕동,#가불가능/빠른입사/초보가능/파견직/쉬운업,08:00~17:00,"3,100,000원",1시간전, 주5일/월310만 이상/자동차부품 제조/통근버스/기숙사
시흥시 정왕동,셰리프 140,16:30~24:00,"9,000원",1시간전, 셰리프 140 펍에서 함께 일하실 바텐더/홀서빙 근무자
시흥시 정왕동,일 단순함/ 초보가능 / 하루도 가능,09:00~18:00,"82,000원",1시간전, # 피킹 및 적재 # 초보자가능 # 동반가능 # 통근운행
시흥시 은행동,#당일지급/요일자유/하루가능/쉽고편한알바,01:30~09:00,"95,200원",1시간전, #당일지급#쿠팡02 캠프  쉬운업무/초보가능/장기가능
시흥시 정왕동,롯데홈쇼핑 - 근무차량지원/지입X,08:00~18:00,"5,000,000원",1시간전," #홈쇼핑배송 #비대면배송 #희망근무지배정 #초보,동반"
시흥시 전체,러쉬로지스 주식회사,09:00~16:00,"2,500,000원",1시간전, [시흥 동원로엑스] 지게차 (상온/저온) 파트 모집 #월
시흥시 전체,로얄BAR에 오신걸 환영합니다,시간협의,"5,000,000원",1시간전, NEW [신규오픈 로얄BAR에서 자신있게 일해요] 퇴폐x안
